commit_hash,files_changed,lines_added,lines_deleted,message_length,label_bugfix,lines_changed,change_density,is_large_commit,is_small_commit
75461c1467bbb2d83ee787bb13f4a338a4b8ad3e,3.0,7.0,1.0,34.0,0,8.0,2.6666666666666665,0,0
36f659b82b9079ec8492c1b52a0c0b058ebdf2eb,0.0,0.0,0.0,63.0,0,0.0,0.0,0,1
d0eefb01d16bd058172363a9847b5d98ccd1abc9,1.0,3.0,0.0,52.0,0,3.0,3.0,0,0
9248a7baca5bc616a60f9b63b525e872fbfddef2,1.0,1.0,4.0,49.0,1,5.0,5.0,0,0
ce53d10236279e4798365d991ab4ff838cb16d36,0.0,0.0,0.0,41.0,0,0.0,0.0,0,1
dffb3d091c0e42b7254fe88218811c24c0054f7e,2.0,3.0,4.0,40.0,0,7.0,3.5,0,0
f345af8d9d33e6164747c865c29a72186a470c22,1.0,3.0,3.0,34.0,0,6.0,6.0,0,0
9da5795d79196e13d802915509180118809042a7,0.0,0.0,0.0,41.0,0,0.0,0.0,0,1
67fc46526234653b0a519e9f1e8a05a2c40c80f8,2.0,12.0,9.0,59.0,1,21.0,10.5,0,0
720bede150d835be0ffedf4d480482552c90908d,0.0,0.0,0.0,41.0,0,0.0,0.0,0,1
bc0c0559e384dc88441775a3907487f4a2b515b4,9.0,390.0,0.0,20.0,0,390.0,43.333333333333336,1,0
a921aef6c47cecbacef5173f03c07c52e6bc8fea,2.0,10.0,1.0,50.0,1,11.0,5.5,0,0
a76aabc7f07c06bd155aace787ed811961aacaa7,0.0,0.0,0.0,41.0,0,0.0,0.0,0,1
f6da77e894a939b838e02fb744fa3031abfc96ec,1.0,2.0,2.0,36.0,1,4.0,4.0,0,0
7f837901cb9b3ba7d68ea0a983d86dfc508a9c6d,0.0,0.0,0.0,41.0,0,0.0,0.0,0,1
745638e774063de206aae930df71789de13e7c73,2.0,41.0,2.0,77.0,1,43.0,21.5,0,0
b93ec1465be95a8303cbed99589273f562928103,1.0,2.0,0.0,36.0,0,2.0,2.0,0,0
da8f88a22eab8195e48fa4ef63c6a3195c860eb0,9.0,0.0,352.37999999999965,62.0,0,352.37999999999965,39.15333333333329,1,0
de909b3bdfcebe6bb56e0910ab9f36ad741b68f2,0.0,0.0,0.0,41.0,0,0.0,0.0,0,1
34e3d64892f2281aa1b6f6357c345b0a357ee51a,3.0,2.0,352.0,68.0,0,354.0,118.0,1,0
4156bd412f2c27359844fbacdae1eb4983c94b8b,2.0,4.0,0.0,21.0,0,4.0,2.0,0,0
2d87e9bc37ef1ce8f9068fac92783a4fe3d3d382,4.0,161.0,2.0,27.0,0,163.0,40.75,0,0
5bb2b55a2880b3c91dbcd6580f3d25ee23c6655c,1.0,2.0,0.0,45.0,0,2.0,2.0,0,0
f80e1d3b5ab8e718cc67c814cbfd9aee9c95f45f,1.0,7.0,0.0,33.0,0,7.0,7.0,0,0
9fa4f94ad885ea98bad8708da6e3e9d15130bb4d,0.0,0.0,0.0,98.0,0,0.0,0.0,0,1
b0ab127015186e1a2918221ffad8d79ca346faf5,6.0,106.0,132.0,26.0,0,238.0,39.666666666666664,1,0
e0fa5aec3a13d9c3e8e27b53526fcee56ac0298d,1.0,1.0,1.0,23.0,0,2.0,2.0,0,0
07581b2404924fe1833f596cfa09caf69868ad5b,2.0,6.0,1.0,15.0,0,7.0,3.5,0,0
f4269b1fe7fe4c17a99bc7ca0dddafd17bed14e9,1.0,0.0,0.0,28.0,0,0.0,0.0,0,1
e409bc792d4419ed588afbc60c53b61923c415a7,1.0,1.0,1.0,10.0,1,2.0,2.0,0,0
93a8ca02822d07cd9f13495f53d27ab22e9adf3a,5.0,17.0,17.0,39.0,1,34.0,6.8,0,0
a5a41d40aaa9f6ed70b487133ddaf48ceb3d054f,1.0,1.0,1.0,9.0,1,2.0,2.0,0,0
693e4449f87950c764a928690f4437fd6b1b4d7d,1.0,2.0,2.0,9.0,1,4.0,4.0,0,0
35ed617fe41b184288892f733ce07d94391b76b1,3.0,60.0,4.0,55.0,1,64.0,21.333333333333332,0,0
931dcc4c80331d372d70d7a0a5c8e6d49223e2bf,5.0,202.0,1.0,42.0,1,203.0,40.6,1,0
b18560fcaa1739c81ff273951ebc6fa3c96fda2b,1.0,1.0,1.0,8.0,0,2.0,2.0,0,0
c6e6792cd52022add8455fc792b2ca73c62d3d65,1.0,4.0,0.0,34.0,1,4.0,4.0,0,0
8c26bec55c13804a01c11931263c9e9e4dab4afb,1.0,5.0,0.0,44.0,0,5.0,5.0,0,0
e7f67e13339073007a84271cce91200bfdb81006,3.0,132.0,10.0,22.0,0,142.0,47.333333333333336,0,0
ea5e654e9e19aab5089f9a71e679bcca11581e86,9.0,307.0,11.0,43.0,0,318.0,35.333333333333336,1,0
267f5f5c82a1ec9966bfb4e1e0c3f7cc4c80ed12,3.0,80.0,0.0,39.0,1,80.0,26.666666666666668,0,0
54c3df60cd533ea80d347f6715ee84f6a560b5d5,1.0,2.0,2.0,24.0,1,4.0,4.0,0,0
7bb0e33a687b3498c401a8dbcf7864d543a1817a,1.0,7.0,5.0,31.0,0,12.0,12.0,0,0
b26aeba972686b9cb9a9b111e1bc8997e1f259c8,1.0,2.0,1.0,16.0,1,3.0,3.0,0,0
e84140aba2786655bbddcedb363d16de1e285441,1.0,39.0,11.0,33.0,0,50.0,50.0,0,0
c4cac0abc1a04710a25dcfc8d7f1b2de173546a8,3.0,124.0,10.0,31.0,0,134.0,44.666666666666664,0,0
395ff8120ccf055614d03db7d2360ab1182c7c10,1.0,2.0,2.0,9.0,1,4.0,4.0,0,0
e52f073e3e76a88e24a8a63eb5491dfc6e537a40,0.0,0.0,0.0,51.0,0,0.0,0.0,0,1
